2025-04-20 14:30:29.901 INFO  c.example.lms.service.ReportService - Checking Redis cache for key: weekly_scores:1
2025-04-20 14:30:29.964 INFO  c.example.lms.service.ReportService - Cache hit for key: weekly_scores:1
2025-04-20 14:30:29.965 INFO  c.e.lms.controller.ReportController - Request for weekly scores for test ID 1 processed in 55 ms
2025-04-20 14:30:29.977 INFO  c.example.lms.service.ReportService - Checking Redis cache for key: monthly_scores:2025:4
2025-04-20 14:30:29.992 INFO  c.example.lms.service.ReportService - Cache hit for key: monthly_scores:2025:4
2025-04-20 14:30:29.992 INFO  c.e.lms.controller.ReportController - Request for monthly scores for month 4 year 2025 processed in 14 ms
2025-04-20 14:30:30.012 INFO  c.example.lms.service.ReportService - Checking Redis cache for key: overall_progress:2025-01-01T00:00:2025-04-30T23:59:59
2025-04-20 14:30:30.058 INFO  c.example.lms.service.ReportService - Cache hit for key: overall_progress:2025-01-01T00:00:2025-04-30T23:59:59
2025-04-20 14:30:30.058 INFO  c.e.lms.controller.ReportController - Request for overall progress from 2025-01-01T00:00 to 2025-04-30T23:59:59 processed in 52 ms
2025-04-20 14:30:30.086 INFO  c.example.lms.service.ReportService - Checking Redis cache for key: monthly_attendance:2025:4
2025-04-20 14:30:30.280 INFO  c.example.lms.service.ReportService - Cache hit for key: monthly_attendance:2025:4
2025-04-20 14:30:30.280 INFO  c.e.lms.controller.ReportController - Request for monthly attendance for month 4 year 2025 processed in 194 ms
